"","pathway_name","top_level_pathway_name"
"1435","Leading Strand Synthesis","Cell Cycle"
"1436","Leishmania infection","Disease"
"1437","Leishmania parasite growth and survival","Disease"
"1438","Leishmania phagocytosis","Immune System"
"1439","Lewis blood group biosynthesis","Transport of small molecules"
"1440","Listeria monocytogenes entry into host cells","Disease"
"1441","Loss of function of MECP2 in Rett syndrome","Gene expression (Transcription)"
"1442","M Phase","Metabolism of RNA"
"1443","MAP kinase activation","Signal Transduction"
"1444","MAPK family signaling cascades","Signal Transduction"
"1445","MAPK targets/ Nuclear events mediated by MAP kinases","Signal Transduction"
"1446","MAPK1/MAPK3 signaling","Immune System"
"1447","Meiosis","Reproduction"
"1448","Membrane Trafficking","Organelle biogenesis and maintenance"
"1449","MET promotes cell motility","Signal Transduction"
"1450","Metabolic disorders of biological oxidation enzymes","Metabolism of proteins"
"1451","Metabolism of amine-derived hormones","Metabolism"
"1452","Metabolism of amino acids and derivatives","Metabolism"
"1453","Metabolism of carbohydrates","Digestion and absorption"
"1454","Metabolism of cofactors","Metabolism of proteins"
"1455","Metabolism of fat-soluble vitamins","Transport of small molecules"
"1456","Metabolism of lipids","Metabolism"
"1457","Metabolism of nitric oxide: NOS3 activation and regulation","Signal Transduction"
"1458","Metabolism of non-coding RNA","Metabolism of RNA"
"1459","Metabolism of nucleotides","Metabolism"
"1460","Metabolism of porphyrins","Metabolism"
"1461","Metabolism of steroids","Metabolism"
"1462","Metabolism of vitamins and cofactors","Transport of small molecules"
"1463","Metabolism of water-soluble vitamins and cofactors","Transport of small molecules"
"1464","Miscellaneous substrates","Transport of small molecules"
"1465","Mismatch Repair","DNA Repair"
"1466","Mitochondrial biogenesis","Protein localization"
"1467","mitochondrial fatty acid beta-oxidation of saturated fatty acids","Metabolism"
"1468","Mitochondrial translation","Metabolism of proteins"
"1469","Mitophagy","Autophagy"
"1470","Mitotic Anaphase","Cell Cycle"
"1471","Mitotic G1 phase and G1/S transition","Cell Cycle"
"1472","Mitotic G2-G2/M phases","Cell Cycle"
"1473","Mitotic Metaphase and Anaphase","Cell Cycle"
"1474","Mitotic Spindle Checkpoint","Cell Cycle"
"1475","Mitotic Telophase/Cytokinesis","Cell Cycle"
"1476","mRNA Editing","Metabolism of RNA"
"1477","mRNA Splicing","Metabolism of RNA"
"1478","Mucopolysaccharidoses","Metabolism of proteins"
"1479","N-glycan antennae elongation in the medial/trans-Golgi","Metabolism of proteins"
"1480","Na+/Cl- dependent neurotransmitter transporters","Neuronal System"
"1481","Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters","Disease"
"1482","Negative epigenetic regulation of rRNA expression","Gene expression (Transcription)"
"1483","Nervous system development","Neuronal System"
"1484","Neurodegenerative Diseases","Disease"
"1485","Neurotoxicity of clostridium toxins","Disease"
"1486","Neutrophil degranulation","Hemostasis"
"1487","Nicotinamide salvaging","Metabolism"
"1488","Nonsense-Mediated Decay (NMD)","Metabolism of RNA"
"1489","NR1H2 and NR1H3-mediated signaling","Signal Transduction"
"1490","Nuclear Envelope (NE) Reassembly","Cell Cycle"
"1491","Nuclear Events (kinase and transcription factor activation)","Gene expression (Transcription)"
"1492","Nucleosome assembly","Disease"
"1493","Nucleotide biosynthesis","Metabolism"
"1494","Nucleotide Excision Repair","DNA Repair"
"1495","Nucleotide salvage","Metabolism"
"1496","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","Gene expression (Transcription)"
"1497","Nucleotide-like (purinergic) receptors","Transport of small molecules"
"1498","O-glycosylation of TSR domain-containing proteins","Metabolism of proteins"
"1499","O-linked glycosylation","Metabolism of proteins"
"1500","O2/CO2 exchange in erythrocytes","Transport of small molecules"
"1501","Oncogenic MAPK signaling","Immune System"
"1502","Organic anion transporters","Transport of small molecules"
"1503","Organic cation transport","Transport of small molecules"
"1504","Organic cation/anion/zwitterion transport","Transport of small molecules"
"1505","p53-Dependent G1/S DNA damage checkpoint","Cell Cycle"
"1506","p53-Independent DNA Damage Response","Cell Cycle"
"1507","p53-Independent G1/S DNA damage checkpoint","Cell Cycle"
"1508","p75 NTR receptor-mediated signalling","Signal Transduction"
"1509","p75NTR regulates axonogenesis","Signal Transduction"
"1510","p75NTR signals via NF-kB","Signal Transduction"
"1511","Parasite infection","Disease"
"1512","PD-1 signaling","Signal Transduction"
"1513","Peptide hormone metabolism","Metabolism of proteins"
"1514","Pervasive developmental disorders","Developmental Biology"
"1515","Phase II - Conjugation of compounds","Metabolism"
"1516","Phenylalanine and tyrosine metabolism","Metabolism"
"1517","Phospholipid metabolism","Immune System"
"1518","PI Metabolism","Metabolism"
"1519","PI3K/AKT Signaling in Cancer","Disease"
"1520","Plasma lipoprotein assembly","Transport of small molecules"
"1521","Plasma lipoprotein assembly, remodeling, and clearance","Transport of small molecules"
"1522","Plasma lipoprotein clearance","Transport of small molecules"
"1523","Plasma lipoprotein remodeling","Metabolism"
"1524","Platelet activation, signaling and aggregation","Hemostasis"
"1525","Platelet calcium homeostasis","Hemostasis"
"1526","Positive epigenetic regulation of rRNA expression","Gene expression (Transcription)"
"1527","Post NMDA receptor activation events","Neuronal System"
"1528","Post-translational protein modification","Metabolism of proteins"
"1529","Postsynaptic nicotinic acetylcholine receptors","Neuronal System"
"1530","Potassium Channels","Neuronal System"
"1531","Pre-NOTCH Expression and Processing","Signal Transduction"
"1532","Presynaptic nicotinic acetylcholine receptors","Neuronal System"
"1533","Processing and activation of SUMO","Metabolism of proteins"
"1534","Processing of Capped Intronless Pre-mRNA","Metabolism of RNA"
"1535","Prolonged ERK activation events","Disease"
"1536","Protein folding","Metabolism of proteins"
"1537","Protein methylation","Metabolism"
"1538","Protein ubiquitination","Metabolism of proteins"
"1539","Protein-protein interactions at synapses","Neuronal System"
"1540","PTEN Regulation","Signal Transduction"
"1541","Pyruvate metabolism and Citric Acid (TCA) cycle","Metabolism"
"1542","Rab regulation of trafficking","Developmental Biology"
"1543","Reduction of cytosolic Ca++ levels","Hemostasis"
"1544","Regulated Necrosis","Programmed Cell Death"
"1545","Regulation of beta-cell development","Developmental Biology"
"1546","Regulation of mitotic cell cycle","Cell Cycle"
"1547","Regulation of mRNA stability by proteins that bind AU-rich elements","Metabolism of proteins"
"1548","Regulation of TP53 Activity","Gene expression (Transcription)"
"1549","Regulation of TP53 Expression and Degradation","Gene expression (Transcription)"
"1550","Resolution of D-Loop Structures","DNA Repair"
"1551","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","Metabolism"
"1552","Response of Mtb to phagocytosis","Autophagy"
"1553","Response to metal ions","Cellular responses to stimuli"
"1554","Retinoid cycle disease events","Metabolism"
"1555","RHO GTPase cycle","Signal Transduction"
"1556","RHO GTPase Effectors","Signal Transduction"
"1557","RHOBTB GTPase Cycle","Signal Transduction"
"1558","RNA Polymerase I Promoter Clearance","Gene expression (Transcription)"
"1559","RNA Polymerase I Transcription","Gene expression (Transcription)"
"1560","RNA Polymerase II Transcription","Gene expression (Transcription)"
"1561","RNA Polymerase III Transcription","Gene expression (Transcription)"
"1562","RNA Polymerase III Transcription Initiation","Gene expression (Transcription)"
"1563","RORA activates gene expression","Metabolism"
"1564","rRNA processing","Metabolism of RNA"
"1565","rRNA processing in the nucleus and cytosol","Metabolism of RNA"
"1566","S Phase","Muscle contraction"
"1567","SARS-CoV Infections","Disease"
"1568","SARS-CoV-1 Infection","Disease"
"1569","SARS-CoV-2 Infection","Disease"
"1570","SARS-CoV-2-host interactions","Disease"
"1571","Selective autophagy","Autophagy"
"1572","Sema4D in semaphorin signaling","Developmental Biology"
"1573","Semaphorin interactions","Developmental Biology"
"1574","Sensory perception of taste","Sensory Perception"
"1575","Sensory processing of sound","Sensory Perception"
"1576","Signal amplification","Metabolism of proteins"
"1577","Signaling by ALK in cancer","Disease"
"1578","Signaling by AMER1 mutants","Disease"
"1579","Signaling by APC mutants","Disease"
"1580","Signaling by AXIN mutants","Disease"
"1581","Signaling by CTNNB1 phospho-site mutants","Disease"
"1582","Signaling by EGFR in Cancer","Signal Transduction"
"1583","Signaling by EGFRvIII in Cancer","Disease"
"1584","Signaling by ERBB2 in Cancer","Signal Transduction"
"1585","Signaling by FGFR","Signal Transduction"
"1586","Signaling by FGFR in disease","Disease"
"1587","Signaling by FGFR1","Signal Transduction"
"1588","Signaling by FGFR2","Signal Transduction"
"1589","Signaling by FGFR3","Signal Transduction"
"1590","Signaling by FGFR4","Signal Transduction"
"1591","Signaling by GPCR","Hemostasis"
"1592","Signaling by Hedgehog","Signal Transduction"
"1593","Signaling by Interleukins","Immune System"
"1594","Signaling by KIT in disease","Signal Transduction"
"1595","Signaling by Ligand-Responsive EGFR Variants in Cancer","Disease"
"1596","Signaling by MET","Signal Transduction"
"1597","Signaling by Non-Receptor Tyrosine Kinases","Immune System"
"1598","Signaling by NOTCH","Signal Transduction"
"1599","Signaling by NOTCH1","Signal Transduction"
"1600","Signaling by NOTCH1 HD Domain Mutants in Cancer","Disease"
"1601","Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer","Disease"
"1602","Signaling by NOTCH1 in Cancer","Signal Transduction"
"1603","Signaling by NOTCH1 PEST Domain Mutants in Cancer","Disease"
"1604","Signaling by NOTCH2","Signal Transduction"
"1605","Signaling by NOTCH3","Signal Transduction"
"1606","Signaling by NOTCH4","Signal Transduction"
"1607","Signaling by NTRK1 (TRKA)","Signal Transduction"
"1608","Signaling by NTRK2 (TRKB)","Signal Transduction"
"1609","Signaling by NTRKs","Signal Transduction"
"1610","Signaling by Nuclear Receptors","Gene expression (Transcription)"
"1611","Signaling by PDGFR in disease","Signal Transduction"
"1612","Signaling by PTK6","Signal Transduction"
"1613","Signaling by RAS mutants","Disease"
"1614","Signaling by Receptor Tyrosine Kinases","Neuronal System"
"1615","Signaling by Rho GTPases","Signal Transduction"
"1616","Signaling by Rho GTPases, Miro GTPases and RHOBTB3","Signal Transduction"
"1617","Signaling by TGF-beta Receptor Complex","Signal Transduction"
"1618","Signaling by TGFB family members","Signal Transduction"
"1619","Signaling by the B Cell Receptor (BCR)","Immune System"
"1620","Signaling by WNT","Signal Transduction"
"1621","Signaling by WNT in cancer","Signal Transduction"
"1622","Signalling to ERKs","Signal Transduction"
"1623","SLC transporter disorders","Transport of small molecules"
"1624","SLC-mediated transmembrane transport","Transport of small molecules"
"1625","Sodium/Calcium exchangers","Muscle contraction"
"1626","Sphingolipid metabolism","Metabolism"
"1627","SUMO E3 ligases SUMOylate target proteins","Metabolism of proteins"
"1628","SUMOylation","Metabolism of proteins"
"1629","Suppression of phagosomal maturation","Immune System"
"1630","Synthesis And Processing Of GAG, GAGPOL Polyproteins","Metabolism"
"1631","Synthesis of bile acids and bile salts via 24-hydroxycholesterol","Metabolism"
"1632","Synthesis of DNA","DNA Replication"
"1633","Synthesis of substrates in N-glycan biosythesis","Metabolism of proteins"
"1634","Synthesis of very long-chain fatty acyl-CoAs","Metabolism"
"1635","Tandem pore domain potassium channels","Neuronal System"
"1636","TCR signaling","Immune System"
"1637","Telomere Maintenance","Cell Cycle"
"1638","Termination of O-glycan biosynthesis","Metabolism of proteins"
"1639","The citric acid (TCA) cycle and respiratory electron transport","Metabolism"
"1640","The phototransduction cascade","Sensory Perception"
"1641","The role of Nef in HIV-1 replication and disease pathogenesis","Disease"
"1642","TNFR1-induced NFkappaB signaling pathway","Immune System"
"1643","Toll Like Receptor 2 (TLR2) Cascade","Immune System"
"1644","Toll-like Receptor Cascades","Immune System"
"1645","TP53 Regulates Transcription of Cell Cycle Genes","Gene expression (Transcription)"
"1646","TP53 Regulates Transcription of Cell Death Genes","Gene expression (Transcription)"
"1647","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","Signal Transduction"
"1648","Transcriptional regulation by RUNX1","Gene expression (Transcription)"
"1649","Transcriptional regulation by RUNX3","Gene expression (Transcription)"
"1650","Transcriptional Regulation by TP53","Gene expression (Transcription)"
"1651","Translation","Metabolism of proteins"
"1652","Translation of Structural Proteins","Metabolism of proteins"
"1653","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template","DNA Repair"
"1654","Transmission across Chemical Synapses","Neuronal System"
"1655","Transport of bile salts and organic acids, metal ions and amine compounds","Metabolism"
"1656","Transport of inorganic cations/anions and amino acids/oligopeptides","Transport of small molecules"
"1657","Transport of Mature mRNAs Derived from Intronless Transcripts","Metabolism of RNA"
"1658","Transport of Mature Transcript to Cytoplasm","Metabolism of RNA"
"1659","Transport of organic anions","Transport of small molecules"
"1660","TRIF(TICAM1)-mediated TLR4 signaling ","Immune System"
"1661","Triglyceride metabolism","Metabolism"
"1662","tRNA Aminoacylation","Metabolism of proteins"
"1663","tRNA processing","Metabolism of RNA"
"1664","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","Cell Cycle"
"1665","Unfolded Protein Response (UPR)","Cellular responses to stimuli"
"1666","Uptake and actions of bacterial toxins","Disease"
"1667","Visual phototransduction","Sensory Perception"
"1668","XBP1(S) activates chaperone genes","Cellular responses to stimuli"
"1669","Zinc influx into cells by the SLC39 gene family","Transport of small molecules"
"1670","Zinc transporters","Cellular responses to stimuli"
